Category,PX_ROC_AUC,PX_AP,SNR,Total_N
bottle,0.9703970626829966,0.6808330990294942,7.832751561420007,63.0
cable,0.958540801578636,0.5532515507438548,4.8616443034160355,92.0
capsule,0.9354863658490281,0.33042173762763,4.338716143333469,109.0
carpet,0.9518806211538017,0.49722984522615016,5.802753392258308,89.0
grid,0.9388791892095737,0.34148002620699597,3.2115254262541786,57.0
hazelnut,0.9720540843571657,0.5876045038743095,5.457753096521747,70.0
leather,0.993363579734149,0.5755803991448094,9.144739626805917,92.0
metal_nut,0.9523235618352183,0.7171939357636988,6.228451622007417,93.0
pill,0.9125371291378147,0.4130064215562046,4.889117177274298,141.0
screw,0.9606716233460992,0.3851577704330886,5.953335061314892,119.0
tile,0.9357165287997744,0.623743546526628,5.400760359634048,84.0
toothbrush,0.9755121321946028,0.44961040437557903,5.240927195278749,30.0
transistor,0.9270950354663807,0.6165567966299154,5.435233499437379,40.0
wood,0.8863926989950667,0.4249543949365831,2.977806535497952,60.0
zipper,0.9521116086175361,0.5893915810470536,5.798335265343365,119.0
